full_group_idd	mzmed	mzmin	mzmax	rtmin	rtmax	npeaks	all_sample_valid	mzmin_full	mzmax_full	rtmin_full	rtmax_full	isotopes	adduct	pcgroup	i
80	410.1907699861	410.1907489059	410.1907910663	261.1898835131	262.7942438981	2	1	410.1570739746	410.211151123	248.8365272252	273.5598456011	[91][M+1]+		6	8440279.22781849
80	243.0544307867	243.0542017681	243.0546598053	261.8333365946	263.4372408312	2	1	243.0531768799	243.1815643311	249.1892201886	274.2800307078		[M+K]+ 204.09	6	19685992.8770023
80	652.2302621312	652.2299894543	652.230534808	259.5837073924	261.8322171826	2	1	652.2244873047	652.2450561523	246.6883789143	273.1995757297	[212][M+1]+		6	582838.921693998
80	227.0795822249	227.0795682963	227.0795961535	261.5115427933	263.1155553343	2	1	227.0791931152	227.1652069092	249.1892201886	274.2800307078	[22][M]+	[M+Na]+ 204.09	6	96387389.8881849
80	409.1875285027	409.1875219204	409.187535085	261.1898835131	262.7942438981	2	1	409.1852111816	409.2072753906	248.8365272252	273.5598456011	[91][M]+	[2M+H]+ 204.09	6	35803562.0510997
64	213.076477104	213.0764177887	213.0765364193	41.5478786325	41.6609492221	2	1	212.9916381836	213.1490325928	29.0906656508	52.9852648077		[M+K]+ 174.113	3	56989753.0013909
64	197.1039520227	197.1037924938	197.1041115516	41.2345464272	41.6609492221	2	1	197.1013031006	197.1542663574	29.0906656508	52.9852648077		[M+Na]+ 174.113	3	129355527.457931
64	175.1188828453	175.1188816383	175.1188840524	43.1176730996	43.5494928327	2	1	175.0453948975	175.1194915771	31.4429320508	55.5861923375		[M+H]+ 174.113	3	881070483.942666
153	509.2690377198	509.2688163523	509.2692590874	941.440534413	942.1100364531	2	1	509.1519470215	509.275604248	927.2044704148	954.1054822141	[141][M+2]+		10	1839799.93109743
153	530.2632935948	530.2631458781	530.2634413114	941.440534413	942.4410183239	2	1	530.1734008789	530.2637939453	927.9196796535	955.1710567233	[149][M+1]+		10	5852047.98932124
153	529.2599695935	529.2598294947	529.2601096923	941.7717981963	942.4410183239	2	1	529.1652832031	529.2612304688	928.2752435983	955.1710567233	[149][M]+	[2M+Na]+ 253.135	10	25016057.0599097
153	507.2780333826	507.277913167	507.2781535982	941.440534413	942.1100364531	2	1	507.2558288574	507.2789306641	928.2752435983	954.8191915866	[141][M]+	[2M+H]+ 253.135	10	23371802.4727678
153	760.4121568808	760.4119964027	760.412317359	943.0900158259	943.7608147057	2	1	760.4084472656	760.4142456055	930.3750444217	955.8732315168	[240][M]+	[3M+H]+ 253.135	10	1816604.81519644
