peakID	mzmed	mzmin	mzmax	rtmin	rtmax	npeaks	all_sample_valid	mzmin_full	mzmax_full	rtmin_full	rtmax_full	isotopes	adduct	pcgroup	medianPurity	i
319	192.1617010582	192.161426389	192.1619757274	135.0567667263	135.5505461883	2	0	192.1598358154	192.1835021973	121.3500336956	149.1214438372			788	0.1895774615	419765.948615653
356	200.9667019128	200.9658641233	200.9675397023	1618.1280705664	1618.5304606071	2	0	200.9512329102	200.97265625	1605.826315622	1629.4577766862			1151	0.1894261292	1282583.9894548
582	248.9311175033	248.9311175033	248.9311175033	1623.5109194694	1623.5109194694	1	0	248.9192810059	248.9315338135	1610.1603172349	1636.8480738152			149	0.1852486475	1712116.79162404
327	194.1549915062	194.1549915062	194.1549915062	736.8292484392	736.8292484392	1	0	194.1542358398	194.1627197266	722.5618105572	750.3323423853			1309	0.180608656	476839.00652498
510	236.0421646986	236.0404385714	236.0438908257	1651.9212615662	1652.092962448	2	1	236.0262451172	236.0445556641	1639.641779319	1669.0505231393			447	0.1782464457	1960887.82563571
443	222.1253757125	222.1241761749	222.1265752502	46.2767580299	46.3983251808	2	1	222.0516967773	222.1897277832	34.8337584454	57.8582530369		[M+Na]+ 199.134	10	0.1775704215	15199357.4069272
820	279.9972025708	279.9966550959	279.9977500457	1651.0765680635	1651.3922910285	2	0	279.9587402344	280.0423583984	1638.3026422488	1666.7516199418			9	0.1700708845	884776.127040863
81	131.1158396237	131.1156029433	131.1160763041	54.6133545955	55.4077377988	2	1	131.0528717041	131.1295318604	39.0368242028	66.2125184544			649	0.1691802325	3909901.03031845
531	241.9405420697	241.9405420697	241.9405420697	1652.5806819288	1652.5806819288	1	0	241.9397735596	241.9413146973	1639.641779319	1668.0303597848			449	0.1688604887	525456.722653765
453	224.9688150153	224.9657781411	224.9693582763	1615.9183817651	1616.3338797898	4	1	224.8763427734	224.970199585	1603.3833258938	1628.2057471496			1144	0.1685802317	1072405.60910542
508	235.130853843	235.1307961736	235.1309115125	963.7675102355	965.9732002065	2	0	235.1303100586	235.137298584	951.5100169467	977.365328345		[M+K]+ 196.163	17	0.1663917786	2538916.92533534
745	270.2780557557	270.2731009831	270.2793093283	1310.9609215241	1311.4165890168	4	1	270.1695556641	270.2794189453	1299.5172588206	1324.3721960064			275	0.165289949	2786257.81237127
122	145.9882811558	145.9882623917	145.9882999199	1616.3778554676	1617.0544838892	2	0	145.9771270752	145.9885864258	1600.7722891182	1632.3780856291	[17][M+1]+		1148	0.1628435866	572909.123963235
