peakID	mz	intensity	isotopes	adduct	groupid	bestAdductScore	clustn	medianPurity	intp	addp	clustnp	pp	intensityw	adductw	clustnw	purityw	totalS	excluded	excludedFinal
490	330.2390108349	12433783.6014417			357	8.0	1.0	0.0	0.80330202870145673	30.0	0.0	0.0	0.240990608610437	9.0	0.0	0.0	9.2409906086104368	1	1
1246	520.19572472779998	12243683.906288801			882	8.0	1.0	0.0	0.79090238389097089	30.0	0.0	0.0	0.23727071516729126	9.0	0.0	0.0	9.2372707151672913	1	1
787	406.17273394279999	11899582.076256299			568	8.0	1.0	0.0	0.76845763211159823	30.0	0.0	0.0	0.23053728963347947	9.0	0.0	0.0	9.2305372896334799	1	1
300	281.14989585820001	11753484.5406106			212	8.0	1.0	0.0	0.758928118935699	30.0	0.0	0.0	0.2276784356807097	9.0	0.0	0.0	9.2276784356807102	1	1
247	263.14105624500002	11697430.1956053			176	8.0	1.0	0.0	0.75527185863716928	30.0	0.0	0.0	0.22658155759115078	9.0	0.0	0.0	9.2265815575911514	1	1
264	268.12410507679999	11655927.051756401			187	8.0	1.0	0.0	0.75256473045460726	30.0	0.0	0.0	0.22576941913638215	9.0	0.0	0.0	9.2257694191363822	1	1
539	345.21342361540002	11374638.443864699			388	8.0	1.0	0.0	0.73421710067914747	30.0	0.0	0.0	0.22026513020374425	9.0	0.0	0.0	9.2202651302037442	1	1
488	330.20272135599998	11014443.323925201			355	8.0	1.0	0.0	0.71072263086357057	30.0	0.0	0.0	0.21321678925907117	9.0	0.0	0.0	9.2132167892590715	1	1
397	306.13630544620003	10914739.282160901			283	8.0	1.0	0.0	0.70421922904037038	30.0	0.0	0.0	0.21126576871211111	9.0	0.0	0.0	9.2112657687121118	1	1
603	359.2293701511	10883692.312318601			434	8.0	1.0	0.0	0.70219412637949152	30.0	0.0	0.0	0.21065823791384744	9.0	0.0	0.0	9.2106582379138473	1	1
429	314.23228648840001	10580069.9845328			305	8.0	1.0	0.0	0.68238973364730537	30.0	0.0	0.0	0.2047169200941916	9.0	0.0	0.0	9.2047169200941923	1	1
388	303.16663433849999	10396629.6797603			275	8.0	1.0	0.0	0.67042446131335032	30.0	0.0	0.0	0.2011273383940051	9.0	0.0	0.0	9.2011273383940058	1	1
707	385.24507519010001	10388451.9250219			505	8.0	1.0	0.0	0.66989105038903574	30.0	0.0	0.0	0.2009673151167107	9.0	0.0	0.0	9.20096731511671	1	1
381	302.20784713379999	10191439.100381101			269	8.0	1.0	0.0	0.65704048244524382	30.0	0.0	0.0	0.19711214473357314	9.0	0.0	0.0	9.1971121447335733	1	1
428	314.2078355191	10070410.9015717			304	8.0	1.0	0.0	0.64914616848496942	30.0	0.0	0.0	0.19474385054549082	9.0	0.0	0.0	9.1947438505454908	1	1
192	243.14597705950001	10061680.9789433			134	8.0	1.0	0.0	0.64857674127085352	30.0	0.0	0.0	0.19457302238125604	9.0	0.0	0.0	9.1945730223812561	1	1
3	103.0538641988	9955214.0236996301			3	8.0	1.0	0.0	0.6416322144634139	30.0	0.0	0.0	0.19248966433902417	9.0	0.0	0.0	9.1924896643390248	1	1
860	428.25279263710001	9745801.3683426995			629	8.0	1.0	0.0	0.62797284197910697	30.0	0.0	0.0	0.18839185259373209	9.0	0.0	0.0	9.1883918525937318	1	1
378	302.17127250800002	9726544.6569211707			267	8.0	1.0	0.0	0.62671678324817148	30.0	0.0	0.0	0.18801503497445143	9.0	0.0	0.0	9.1880150349744518	1	1
201	246.1149060578	9713724.9420780893			141	8.0	1.0	0.0	0.62588059089921433	30.0	0.0	0.0	0.1877641772697643	9.0	0.0	0.0	9.1877641772697647	1	1
465	323.09025952209998	9450068.4302528705			334	8.0	1.0	0.0	0.60868305096641806	30.0	0.0	0.0	0.18260491528992542	9.0	0.0	0.0	9.1826049152899252	1	1
190	243.0848739926	9145604.9291762691			132	8.0	1.0	0.0	0.5888237909709173	30.0	0.0	0.0	0.17664713729127518	9.0	0.0	0.0	9.1766471372912743	1	1
996	459.26446211080003	9071333.0641122293			718	8.0	1.0	0.0	0.58397925534204265	30.0	0.0	0.0	0.17519377660261279	9.0	0.0	0.0	9.1751937766026135	1	1
314	286.16089235060002	9025963.8835441396			223	8.0	1.0	0.0	0.58101995693846209	30.0	0.0	0.0	0.17430598708153863	9.0	0.0	0.0	9.1743059870815387	1	1
